feature,gain,split
age_years,97302.67915213574,7380
mileage,42992.233181883115,13486
engine_type_std,33974.68276245799,3420
log_mileage,31397.74669174617,10647
model_name,30707.096609236207,23971
trim_name,13941.848973180167,25310
make_name,8948.564438445494,5789
wheel_system,6754.108231287915,2081
engine_disp_l,5373.680977863725,1934
age_sq,2552.32400036091,1683
cylinders_num,1671.054581797216,788
body_type,640.1242937827483,1949
has_accidents,126.30066882865503,384
fuel_type,107.99718901887536,560
fleet,97.36683565564454,307
transmission,36.41242571081966,726
frame_damaged,31.20248217880726,42
