make_name,body_type,n,MAE,RMSE,rMAPE,bias
Ferrari,Coupe,1,49279.7066319098,49279.7066319098,0.6175401833572657,-49279.7066319098
Alfa Romeo,Coupe,1,40946.458845705354,40946.458845705354,0.4196236776940259,-40946.458845705354
Maserati,Sedan,1,19228.971566868488,19228.971566868488,0.5197721737226243,19228.971566868488
Porsche,Sedan,3,10925.828280792686,11347.97115917897,0.3369477660454819,10925.828280792686
Mercedes-Benz,Coupe,3,8895.387740976445,9484.002520050783,0.24244919674260776,514.2691927090588
Dodge,Coupe,11,5187.356416509898,9060.940750206006,0.11084566204047283,-845.6688175840553
Audi,Convertible,4,7580.595852081035,8206.421733616986,0.4383974190758233,4911.440487869823
BMW,Coupe,13,5574.320895496408,7495.622110990538,0.14694171560768357,-401.3834843078758
Chrysler,SUV / Crossover,1,6330.430596659171,6330.430596659171,0.1661530340330491,6330.430596659171
Porsche,SUV / Crossover,6,4948.464736618137,5804.425070008757,0.22323818264836806,2000.0221526042296
Mercedes-Benz,SUV / Crossover,61,4423.809670486802,5734.828452556893,0.16360435685756713,3105.8629450177987
Land Rover,SUV / Crossover,59,3658.1198103819524,5539.888663050826,0.0638475266370327,-1562.984018818991
Mercedes-Benz,Convertible,6,4039.040595005136,5492.119030494682,0.2878667115304493,2139.570003471448
RAM,Van,5,4745.456995243325,5188.354870689551,0.2700096979685159,4745.456995243325
FIAT,Convertible,1,4747.845647481114,4747.845647481114,0.22484588215008117,4747.845647481114
Mercedes-Benz,Van,5,4329.314630048038,4586.957664462518,0.20495341968538155,4329.314630048038
Cadillac,SUV / Crossover,21,3282.604625808291,4509.37940866949,0.09480887653306028,2344.927514158703
BMW,Sedan,68,3502.6837679793875,4446.3169900156945,0.14937059476834516,2674.7563515222764
BMW,Convertible,6,3361.5042793109847,4379.533196729461,0.1378220180617915,130.3222332019477
Mercedes-Benz,Sedan,76,3555.3067033458356,4366.955768242869,0.167716000300543,2560.203524225548
Genesis,Sedan,1,4366.535752278112,4366.535752278112,0.15657400144428113,4366.535752278112
BMW,SUV / Crossover,46,3649.0148510275576,4225.099958562535,0.16999828833597053,3032.786192786578
Dodge,Sedan,15,2847.583637168694,4052.4171024305206,0.08609815178262395,2129.09459082914
RAM,Pickup Truck,38,2972.36631173817,3759.884089733051,0.061997965068337976,2120.074834517207
Dodge,SUV / Crossover,26,2932.885645922811,3715.047717296432,0.09165059455706291,2577.4179810380615
Ford,Pickup Truck,17,2769.98713685994,3632.9269311474613,0.16159030444625289,257.11224450700246
Audi,Sedan,25,2643.93659677719,3616.5023372750115,0.11882744725155911,948.0072772356672
Hyundai,Coupe,3,3010.5211218383106,3509.6610629630163,0.162815439551677,3010.5211218383106
Jaguar,SUV / Crossover,6,2859.7398888107655,3505.601879627531,0.09398004835620043,2628.3767540494996
Chrysler,Minivan,17,2987.481334557639,3455.623526875029,0.2314955122898425,2881.292532030969
Volvo,Convertible,1,3450.9439730551303,3450.9439730551303,0.8119868171894424,3450.9439730551303
BMW,Wagon,7,2706.4911977700535,3441.602705612956,0.103702897437126,2528.4283189675975
Lincoln,Sedan,9,2542.540518776267,3346.595561027174,0.12440391834395736,1301.384602906319
GMC,SUV / Crossover,16,2516.0106920782123,3302.1476299556502,0.09961335457944501,1461.560408372939
Jeep,SUV / Crossover,185,2718.4685102549884,3261.2526004064216,0.12362017168040831,2193.556536436809
Mazda,Sedan,49,2284.5163178134762,3087.454580937583,0.08620066834472664,-1935.8875898418316
Dodge,Pickup Truck,2,2731.191454413676,3085.9959538193425,0.4130430395723276,2731.191454413676
INFINITI,Convertible,1,3013.067170468701,3013.067170468701,0.12277186743006686,-3013.067170468701
