make_name,body_type,n,MAE,RMSE,rMAPE
Land Rover,Convertible,1,52497.83877326617,52497.83877326617,0.5898633570029908
McLaren,Coupe,2,38117.00120035045,38426.65946615613,0.3996538084586949
AM General,SUV / Crossover,5,29838.281671696215,35168.11295658654,0.5130566464097249
Lamborghini,Convertible,2,30317.910981890727,31101.30547837827,0.320657270262939
Karma,Sedan,6,23502.80647574404,24527.422909509405,0.3158236927037683
Alfa Romeo,Coupe,5,11964.061788224959,19332.76426261014,0.14372379959042855
SRT,Coupe,3,16873.204540574767,16919.20530526254,0.17819503261533629
Ferrari,Coupe,22,11856.724784268234,14753.038940704895,0.14633176274500953
Rolls-Royce,Sedan,5,10550.600026195089,14207.917661141344,0.1915147144014501
Maybach,Sedan,5,11034.911582241037,13802.874562435878,0.19321305157765473
Lotus,Coupe,13,9855.130995274356,12509.332275469622,0.16646481100460833
Volkswagen,Van,9,8052.837990870135,11608.741778588355,0.4145584173930268
Fisker,Sedan,9,10621.3533323844,11144.010615550593,0.31362095728867506
Aston Martin,Coupe,26,8839.216951682944,10846.976720945042,0.1394722787567137
Jaguar,,4,8231.783190353544,10447.88683773423,0.10510907745614212
Acura,Coupe,41,3825.9816198825692,10439.52359381869,0.2605342752667506
Aston Martin,Convertible,19,7553.731868289485,10400.575697288818,0.1723222017260597
Lexus,,36,8321.425904634541,10308.90979516966,0.11583498078761607
Ferrari,Convertible,21,8825.587603111682,9791.02334019545,0.10585653984634678
Bentley,Coupe,42,6869.56027799117,8605.120495682413,0.11407934130779696
Cadillac,,3,6877.380871433968,8443.766067933033,0.19372432896721034
Bentley,Sedan,63,6276.503184643146,8439.506648067676,0.11599947132865378
Dodge,Convertible,28,6998.508017200548,8357.703796379106,0.14381831339802148
Lamborghini,Coupe,9,6134.538458885513,8300.355671701855,0.07118307926929622
Rolls-Royce,,4,6076.982763862464,8184.1157603855845,0.18863815145481846
Alfa Romeo,Convertible,6,6510.949067716244,7617.331143780247,0.2453307741793617
Porsche,Coupe,384,5275.618080295911,7522.637713677967,0.090067769878092
Bentley,Convertible,44,5437.210823472258,7375.364045449171,0.07552586178837224
Nissan,Coupe,291,3150.483907805211,7323.391231711692,0.10465582366583008
Porsche,,1,7251.683298741322,7251.683298741322,0.12086138831235536
Maserati,Convertible,34,5641.667971491963,7005.301700398019,0.08998864118153543
Aston Martin,Sedan,3,6802.8456161262,6968.969506107069,0.08116015919236003
Porsche,Convertible,377,4536.15468431151,6576.61883550657,0.10893843494539864
Cadillac,Wagon,17,3264.502081085491,6345.716166777191,0.0872120886180149
Ford,,288,4222.496663654605,6059.243318026346,0.1244115898313492
Porsche,Sedan,342,4090.675460189453,5996.645842469747,0.07332416073880633
Maserati,Coupe,107,4699.067476790269,5967.836497880238,0.09754755185777061
Subaru,,4,5772.967069453705,5943.518389530489,0.31643803328930586
RAM,,57,4500.5754999136825,5939.759433852667,0.08307900962012554
Lotus,Convertible,5,4366.776060330054,5696.102295908428,0.10796892936703846
Hummer,Pickup Truck,13,3919.388252731318,5353.680595952293,0.16622358427589284
Maserati,Sedan,690,3586.3963522399586,5178.137875127135,0.07596326550264926
Lincoln,Coupe,4,3812.957212849925,4989.515766548645,1.2268834413593974
Mercedes-Benz,Van,1574,2790.967265412455,4988.099902843147,0.0634619638968376
Dodge,,3,4817.044424279938,4918.2685509808825,0.23000753574739505
Tesla,SUV / Crossover,79,3863.9626758869103,4897.365510182623,0.054795699893802986
Mercury,Coupe,2,4670.597680871251,4834.744023308163,0.7136052242122612
Dodge,Van,47,3082.41322375708,4830.810166115667,0.3052264297826055
Jaguar,Wagon,11,3108.051696442602,4790.684997739258,0.08773159319830265
Freightliner,Van,12,3081.9301138022784,4646.516966880288,0.17306382066264292
Plymouth,Convertible,24,3392.6140413921985,4612.336259520036,0.09954700807001941
Mercedes-Benz,Coupe,840,3060.6751615169933,4573.556600876682,0.07681746857562272
Lexus,Coupe,247,3254.8465884206535,4529.671483356822,0.08074324094846227
Cadillac,Convertible,40,2928.976437718976,4528.563406662367,0.1999666786424296
Chevrolet,Convertible,931,2566.2463526891047,4522.830558932986,0.08185981356369817
Mercedes-Benz,Convertible,985,3155.934488200364,4519.695656601916,0.09748362682606843
Mitsubishi,Pickup Truck,11,2692.8599877263273,4500.943977837174,0.3718133848221056
Chevrolet,Wagon,1268,3256.5222590695876,4346.250962770325,0.12163131033786378
Audi,Coupe,558,2453.573066995138,4343.765122797055,0.07156097762048166
Jaguar,Coupe,128,3365.4293653634586,4323.673162155904,0.08829067452486906
Jaguar,Sedan,899,2380.0739942202795,4247.346304726735,0.08970763654059714
Land Rover,SUV / Crossover,4537,2647.6251113480457,4233.112979504904,0.061762748791584915
Jaguar,Convertible,139,3130.1448084789995,4215.365037442269,0.11249220021225972
Ford,Pickup Truck,46775,2930.4134080298522,4186.764734683561,0.07890302336126673
Honda,Convertible,20,2843.7386649385116,4176.0680388537685,0.11191774620560199
Mercedes-Benz,Wagon,285,2568.563553597551,4075.289301615903,0.08248684439035735
Oldsmobile,Wagon,3,2663.662825144002,4071.983611329572,0.16418966239549773
Tesla,,6,3408.6103975547085,4011.048829566382,0.0752741673985558
Hummer,SUV / Crossover,303,1955.2458434192922,4000.049858998071,0.10613699469928395
RAM,Pickup Truck,24559,2963.582732144591,3982.5370546263903,0.07086945235930886
Ford,Coupe,3517,2428.532754764697,3979.8205487964697,0.07916277188027615
Jaguar,SUV / Crossover,1203,2762.8744752201405,3868.0574116156426,0.055524435887752355
Porsche,SUV / Crossover,1732,2844.2796615319403,3774.564273999876,0.05882182918973041
Maserati,SUV / Crossover,297,2815.596657077154,3713.53755594219,0.04417689264899875
Jeep,Pickup Truck,1974,2819.2405585387983,3704.7069818496843,0.05743150050017068
GMC,Van,804,2216.0221889766867,3688.8692082710395,0.09291659007304699
Chevrolet,Coupe,2583,2196.888306296466,3683.691543686644,0.08518921776761158
BMW,Coupe,1074,2433.805081993215,3641.2741907915934,0.08226525680838297
BMW,Convertible,740,2243.1920915549767,3566.9648388911,0.09651423216562525
Genesis,Sedan,721,2554.6140691092196,3522.148965593615,0.06515981294702672
Plymouth,Hatchback,1,3509.559809663744,3509.559809663744,0.21941605562136568
Alfa Romeo,,99,2864.730734103897,3478.067231277078,0.06243666713774326
Dodge,Coupe,2905,2444.465004971792,3449.405742826367,0.06974207837417351
GMC,Pickup Truck,9416,2453.705053307413,3429.861681135465,0.06826427544770776
Land Rover,,5,2297.626025084409,3405.713391806764,0.03814486240636465
Ford,Convertible,1220,2067.0554067059375,3401.190969352146,0.08274942191104859
Cadillac,SUV / Crossover,9158,2362.559879903554,3360.1047348201537,0.05526890363765037
BMW,,39,2815.6629603094907,3281.085874267029,0.03609969528787587
RAM,Van,2165,2387.962540159945,3279.8894187426345,0.08482211901629516
BMW,Sedan,7919,2200.8138225123444,3222.2780445776,0.07776219056559917
Mercedes-Benz,SUV / Crossover,7409,2279.425212809337,3199.0635054046397,0.0593963980300251
Tesla,Sedan,408,2333.6350018759153,3192.7128335356883,0.05093138493148242
Lincoln,SUV / Crossover,7471,2297.700521045176,3187.298259424441,0.057174403775173695
Chevrolet,Pickup Truck,27888,2259.463171167708,3150.9769121255495,0.06892421102512336
Mercedes-Benz,Sedan,7611,2203.24323369122,3150.63470279151,0.08036171074410671
Chevrolet,Van,2656,1996.549357300826,3126.596695736862,0.09733409517528584
Ford,Minivan,53,1436.9626813248226,3091.8878190638416,0.31296058461858955
